Dealer_Brand,Dealer_Category,Dealer_State,Dealer_City,Dealer_Pincode,Area_Name,Dealer_Address,FOS_Code,FOS_Name,Static_Mobile,MOBILE_NUMBER,Overall_Txn,Monthly_Avg_txns,DEALER_NAME
Shree Constructions,Small Appliances,Maharashtra,Pune,411017,Pimpri Camp Maharashtra,Opposite Arya Samaj Mandir Maharshi Dyanand Marg Deluxe Road Pimpri Camp Maharashtra  Pune Maharashtra,90051446,Dhanashri Kshirsagar,Mobile,519139768A4220218B99E118FF33AB0462040A3C99F8C9FE6DEB84BEB3D99F06,18,3,Shree Constructionsna
Colors Opticians,Eyewear,Maharashtra,Pune,411030,PUNE,1400 Shreee Ganesh Kunj S No 1 Sadashiv Peth Pune Pune  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,3,2,Colors Opticians
Novel Sewing Machine Technologies,Sewing Machines,Maharashtra,Pune,411018,PIMPRI CHOK,205 Mumbai Pune Road Pimpri Chok Pune 411018 Pimpri Chok  Pune Maharashtra,90043198,Salman Shafi Shaikh,Mobile,14285DAF71DEB8B7ACA506CA36C88EEA71125032E959ABE6FD9BC8820B715FC4,105,12,Novel Sewing Machine Technologies
Adidas,Apparels,Maharashtra,Pune,411038,SANGAM PRESS ROAD KOTHRUD PUNE,Adidas Store 16 1 Parvati Chambers Sangam Press Road Kothrud Pune  Pune Maharashtra,90041722,Shubham Uttamrao Sunewad,REMI Model,CB387F26632CECE3DC6B9E5F2C2253E57E6E2DABD3333CED6E015894CBEC6C7B,35,4,Gd Retail A Unit Of Mycar Pune Pvt Ltd 
Just In Time,Watches,Maharashtra,Pune,411028,PUNE,Wb Gf 20 21 West Block Ground Floor Amanora Mall Hadapsar Pune Pune  Pune Maharashtra,90041413,Vijay Kumar,REMI Model,5D853EA41472C7F7DC15EF1F651E48B7BE4E26E4B0D258F44F56B7811F56FCC7,17,3,Just In Time Trading Pvt Ltd
Om Sai Engineers,Others,Maharashtra,Pune,410501,NASHIK ROAD CHAKAN Pune,3144 KASBE CHAKAN AMBETHAN CHOWK NASHIK ROAD CHAKAN Pune  PUNE MAHARASHTRA,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,21,3,Om Sai Engineers
Laxmi Tyres,Tyres,Maharashtra,Pune,411015,SR NO 8182 PARANDE NAGAR DHANORI PUNE PUNE,Shop No 1 23 Ground Floor Gitai Villa Sr No 8182 Parande Nagar Dhanori Pune Pune  Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,12,2,Laxmi Tyres
New Sham Sewing Machine,Sewing Machines,Maharashtra,Pune,411017,UPTO BHAJI MARKET PIMPRI,Shop No 6 Venkatesh Market Near Railway Over Bridge Upto Bhaji Market Pimpri Camp Upto Bhaji Market Pimpri  Pune Maharashtra,90051446,Dhanashri Kshirsagar,Mobile,519139768A4220218B99E118FF33AB0462040A3C99F8C9FE6DEB84BEB3D99F06,75,7,New Sham Sewing Machine
Singh Agency,Cycles,Maharashtra,Pune,411002,PHADAKE HAUD CHOWK PUNE 411002,745 Budhwar Peth Phadake Haud Chowk Pune 411002  Pune Maharashtra,90043198,Salman Shafi Shaikh,Mobile,14285DAF71DEB8B7ACA506CA36C88EEA71125032E959ABE6FD9BC8820B715FC4,204,19,Singh Agency
Jai Ganesh Battery,Power Backup,Maharashtra,Pune,412208,PUNE,Gat No 1584 Shikrapur Near Hotel Sanjeevan Chakan Road Shikrapur Shirur Pune  Pune Maharashtra,90042195,Balaji Raju Chowghule,REMI Model,A7366DD008917402D1D569EE6D84578DE48FAFD6222AF5A34A645542A79EB144,2,2,Jai Ganesh Battery
Saibabas Bicycles Hub,Cycles,Maharashtra,Pune,411002,PUNE,726 Budhwar Peth Pune Rasta Peth Pune  Pune Maharashtra,90043198,Salman Shafi Shaikh,Mobile,14285DAF71DEB8B7ACA506CA36C88EEA71125032E959ABE6FD9BC8820B715FC4,19,2,Saibabas Bicycles Hub
Tyre Point Sales And Services,Tyres,Maharashtra,Pune,411041,PUNE,Shop No 24 25 Ganga Bhagyoday Sinhagad Road Vadgaon Budruk Pune Pune  Pune Maharashtra,2014796-D,Pulkit Jain_D,Mobile,,15,2,Tyre Point Sales And Services
Tanushri Power Solutions,Power Backup,Maharashtra,Pune,411033,119 PUNAWALE PUNAWALE Maharashtra,Infinity Tower Shop No8 Awing Sno117 118 119 Punawale Punawale Maharashtra  Pune Maharashtra,90043471,Tejas Anil Kumbhar,REMI Model,A5B1DA4AC5B02BFE8B7B3ECED274BDCFDBE3C34D28E07BE3AE2BFC9C5936B8FE,6,2,Tanushri Power Solutionsna
Surana Cycle World,Cycles,Maharashtra,Pune,411001,PUNE 411001,112 Mahatma Gandhi Road Pune 411001  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,5,1,Surana Cycle World 
B U BHANDARI AUTO PVT LTD,Vehicle Care / Servicing,Maharashtra,Pune,410504,,NA,90043471,Tejas Anil Kumbhar,REMI Model,A5B1DA4AC5B02BFE8B7B3ECED274BDCFDBE3C34D28E07BE3AE2BFC9C5936B8FE,0,0,B U BHANDARI AUTO PVT LTD
Smile Kids Cycle,Cycles,Maharashtra,Pune,411039,PUNE,Behind Walkar Mahamndal Survy No 1566 Mohan Nagar Panjarpol Pune Pune  Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,4,2,Smile Kids Cycle
Puma,Footwear,Maharashtra,Pune,411057,PUNE,Unit No G 66 Mall Of Millennium Survey No 132 23 Behind Sayaji Hotel Wakad Pune  Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,4,2,Puma Sports India Pvt Ltd Mall Of Millenium
Manoj Engineers,Small Appliances,Maharashtra,Pune,411002,Pune Maharashtra,376 Shukrawar Peth Shree Shankar Krupa Shivaji Road Pune Pune Maharashtra  Pune Maharashtra,90053317,Sahil Sanjay Tank,Mobile,E45455231503A25D2EAE1F84161E1EB735585A00FD65E593E5095A7BA18C567A,13,3,Manoj Engineers
Hakke Sons,Cycles,Maharashtra,Pune,411028,NEAR KALUBAI MANDIR Sasane Nagar Pune Pune Maharashtra,Ground Floor Shop No1 S No 771A61A Hasapsar S K Angan Sasane Nagar Road Near Kalubai Mandir Sasane Nagar Pune Pune Maharashtra  Pune Maharashtra,90041413,Vijay Kumar,REMI Model,5D853EA41472C7F7DC15EF1F651E48B7BE4E26E4B0D258F44F56B7811F56FCC7,3,2,Hakke  Sonsna
Rajendra Cycle Center,Cycles,Maharashtra,Pune,411052,PUNE,Shalini Resedency Karve Nagar Sriman Socity Karvenagar Pune Pune  Pune Maharashtra,90043471,Tejas Anil Kumbhar,REMI Model,A5B1DA4AC5B02BFE8B7B3ECED274BDCFDBE3C34D28E07BE3AE2BFC9C5936B8FE,2,1,Rajendra Cycle Center
Rajeshirke Auto,Car Accessories / Auto Ancillaries,Maharashtra,Pune,411037,NEAR KK MARKET,Shop No 18 Rajiv Gandhi Shopping Complex Kk Market Road Bibvewadi Pune Near Kk Market  Pune Maharashtra,90041722,Shubham Uttamrao Sunewad,REMI Model,CB387F26632CECE3DC6B9E5F2C2253E57E6E2DABD3333CED6E015894CBEC6C7B,2,2,Rajeshirke Auto
Exide,Power Backup,Maharashtra,Pune,412105,PIMPRI,S Kom Moshi Dhehu Alandi Road Moshi Pimpri Pune Pimpri  Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,2,1,Samarth Enterprises
SAIKRUPA AGENCY,Power Backup,Maharashtra,Pune,411037,,NA,90041722,Shubham Uttamrao Sunewad,REMI Model,CB387F26632CECE3DC6B9E5F2C2253E57E6E2DABD3333CED6E015894CBEC6C7B,0,0,SAIKRUPA AGENCY
Ucb-F,Apparels,Maharashtra,Pune,411004,MC DONALDS,Shop No 103 Rinayenses Jm Road Deccan Gym Khana Pune Mc Donalds  Pune Maharashtra,90050324,Bhushan Mahadev Sonagre,REMI Model,4B046609ECA467CBC9C3A2F9CD3E5BBED48846A762869594605FFDB50F89BF34,78,8,Nirvan Fashions
Shree Gajanan Battery And Auto Electrician,Power Backup,Maharashtra,Pune,411057,AT POST MARUNJI TAL MULSHI Pune Maharashtra,Malganga Complex Shop No 1 Near Pavana Sahakari Bank At Post Marunji Tal Mulshi Pune Maharashtra  Pune Maharashtra,No Mapping,No Mapping,REMI Model,,10,4,Shree Gajanan Battery And Auto Electrician
Saibabas Bicycle Studio,Cycles,Maharashtra,Pune,411011,PUNE,Ground Floor Gangotri Apartmentkasba Peth Pune Pune  Pune Maharashtra,90043198,Salman Shafi Shaikh,Mobile,14285DAF71DEB8B7ACA506CA36C88EEA71125032E959ABE6FD9BC8820B715FC4,34,4,Saibabas Bicycle Studio
Gagan Batteries,Power Backup,Maharashtra,Pune,411014,GROUND FLOOR SHOP NO 7 SAMRUDDHI MARKET SANGHARSH CHOWK CHANDAN NAGAR,Ground Floor Shop No 7 Samruddhi Market Sangharsh Chowk Chandan Nagar Ground Floor Shop No 7 Samruddhi Market Sangharsh Chowk Chandan Nagar  Pune Maharashtra,90042195,Balaji Raju Chowghule,REMI Model,A7366DD008917402D1D569EE6D84578DE48FAFD6222AF5A34A645542A79EB144,8,2,Gagan Batteries
Just In Time,Watches,Maharashtra,Pune,411057,PUNE,G 48 Phoenix Mall Of Millennium Wakad Pune Pune  Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,5,2,Just In Time Trading Pvt Ltd
Victor Flyer Cycle Mall,Cycles,Maharashtra,Pune,411041,PUNE,Sarve No 145 Dhayri Gramal Near Transformer Sinhgad Dhyari Pune  Pune Maharashtra,90040613,Akash Dabade,Mobile,0B45CE46E9E46FAF2E45423E00DAA9EC82CC0ED392B50638F1CBC68C029A7130,20,2,Victor Flyer Cycle Mall
Surprise Car Accessories,Car Accessories / Auto Ancillaries,Maharashtra,Pune,411034,SAGAR PLAZA,434 8 A 1 Cts No 2514 Sagar Plaza Mumbai Pune Road Kasarwadi Pune Sagar Plaza  Pune Maharashtra,90050324,Bhushan Mahadev Sonagre,REMI Model,4B046609ECA467CBC9C3A2F9CD3E5BBED48846A762869594605FFDB50F89BF34,14,2,Surprise Car Accessories
Adidas,Apparels,Maharashtra,Pune,411001,MG ROAD CAM PUNE,Adidas Store Near Lenscart Showroom Mg Road Cam Pune  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,29,3,Gd Retail A Unit Of Mycar Pune Pvt Ltd 
Yusuf Mirajkars Musical,Musical Instruments,Maharashtra,Pune,411002,GANPATI CHOK,Kakakuwa Mansion Laxmi Road Ganpati Chok Ganpati Chok  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,9,2,Yusuf Mirajkars Musical
Fashion Factory,LFR,Maharashtra,Pune,411051,,Fashion Factory Shimmer N Shine Building Wing B Hingane Kh Sinhagad Road Pune 411051   Pune Maharashtra,90041722,Shubham Uttamrao Sunewad,REMI Model,CB387F26632CECE3DC6B9E5F2C2253E57E6E2DABD3333CED6E015894CBEC6C7B,574,53,Reliance Retail Limited
Lunkad Care Decor And Care,Car Accessories / Auto Ancillaries,Maharashtra,Pune,411014,DHALAXMI MARBLE,Shop No 49 Plot No 25 Dhanlaxmi Marble Vadgaonsheri Dhalaxmi Marble  Pune Maharashtra,90049260,Santosh Mahadeo Puri,Mobile,00A5C4E9D0AA66971071353C22A79009002417F3EDFA75CE8C45E2A84F492737,51,6,Lunkad Care Decor And Care
Rs Aquaflow Water Purifier,Small Appliances,Maharashtra,Pune,411015,PUNE,Near Mukri Dham Bunglow Pune Survey No 85 Alandi Road Pune Pune  Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,0,0,Rs Aquaflow Water Purifier
Laxmi Watch Company,Watches,Maharashtra,Pune,411002,PUNE,842 Budhwar Peth Laxmi Road Pune Pune Maharashtra 411002 Pune  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,2,1,Laxmi Watch Company
Krishna Tyres,Tyres,Maharashtra,Pune,411033,DANGE CHOWK THERGAON PUNE,S No 201 Nr Kalkrushna Kar Lya Dange Chowk Thergaon Pune  Pune Maharashtra,90050245,Mayank Yawar,Mobile,E1C22811F1CB38B109A2E54C72FE0FF670B6CC01A8BB9C967765C86CFA8A05FB,9,3,Krishna Tyres
Darshan Tyres,Tyres,Maharashtra,Pune,411004,REVENUE COLON,Shop 2 3 5 6 Poonam Arcade Society 1170 11 Revenue Colony Pune Revenue Colon  Pune Maharashtra,90043198,Salman Shafi Shaikh,Mobile,14285DAF71DEB8B7ACA506CA36C88EEA71125032E959ABE6FD9BC8820B715FC4,54,7,Darshan Tyres
Dcot,Apparels,Maharashtra,Pune,411037,0,Shop No9 10 Chintamani Building Sujay Garden Mukund Nagar Pune 0  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,7,2,Donear Industries Limited 
Gurudatta Batteries And Agri Machinerypune,Power Backup,Maharashtra,Pune,412308,Near Zoom Hotel Urali Devachi,Shop No 4 Hadapsar Saswad Road Near Zoom Hotel Urali Devachi  Pune Maharashtra,90041413,Vijay Kumar,REMI Model,5D853EA41472C7F7DC15EF1F651E48B7BE4E26E4B0D258F44F56B7811F56FCC7,5,2,Gurudatta Batteries And Agri Machinery pune
Navjyoti Retailes,Watches,Maharashtra,Pune,411027,VishalNagar,ShopNo6AishwaryaTradeCenter VishalNagar  PUNE MAHARASHTRA,90042100,Anish Kumar Singh,REMI Model,432A2077E34B8EBAB34E394E8A7D97178C6CB8D880329D740B6378878FB19991,2,1,Navjyoti Retailes
The Sound Factor,Musical Instruments,Maharashtra,Pune,411001,M G ROAD CAMP PUNE 411001,Shop No 306 M G Road Camp Pune 411001  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,5,2,The Sound Factor 
Cycle Mania,Cycles,Maharashtra,Pune,411037,BIBWEWADI PUNE 411037,S No 573 14 Next To Yogesh Furniture Interiors Bibwewadi Pune 411037  Pune Maharashtra,No Mapping,No Mapping,REMI Model,,4,1,Cycle Mania 
Yash Agri Cultural Technologies,Small Appliances,Maharashtra,Pune,411041,BEHIND SHIVRAJ M PUNE PUNE,M No636 S No 259 Behind Shivraj M Pune Pune  Pune Maharashtra,90043471,Tejas Anil Kumbhar,REMI Model,A5B1DA4AC5B02BFE8B7B3ECED274BDCFDBE3C34D28E07BE3AE2BFC9C5936B8FE,8,2,Yash Agri Cultural Technologies
Suyog Tyres,Tyres,Maharashtra,Pune,411027,PUNE,Opp Saraswat Bank Ground Floor Shop No 03Survey Numbesuyog Tyrescts No 1 Pune  Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,11,2,Suyog Tyres
Vinayak Sports And Fitness,Gyms And Spas,Maharashtra,Pune,411015,Pune Pune Maharashtra,Ground Floor 313 Sundrai Late Captain Pandurang Narayan Gore Path Dhanori Pune Pune Maharashtra  Pune Maharashtra,90042195,Balaji Raju Chowghule,REMI Model,A7366DD008917402D1D569EE6D84578DE48FAFD6222AF5A34A645542A79EB144,3,1,Vinayak Sports And Fitness
Umesh Dattatraya Dhone,Tyres,Maharashtra,Pune,411037,MARKET YARD ROAD PUNE Maharashtra,Market Yard Sr No 53764 Plot No 2 Soniga Chambers Market Yard Road Pune Maharashtra  Pune Maharashtra,90050139,Ramesh Vasantrao Masal,Mobile,5F839A7BE699169F51F0C25FCF2FDD961FDF9DF6CAE576E20BCD01E14A751EC7,5,3,Umesh Dattatraya Dhonena
Just In Time,Watches,Maharashtra,Pune,411001,PUNE,270 Mg Road Pune Pune  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,46,5,Just In Time Trading Pvt Ltd
Omkar Tyres,Tyres,Maharashtra,Pune,411001,VRUSHALI APPARTMENT,Shop No 10 Vrushali Apartment Parvati Pune Vrushali Appartment  Pune Maharashtra,90040613,Akash Dabade,Mobile,0B45CE46E9E46FAF2E45423E00DAA9EC82CC0ED392B50638F1CBC68C029A7130,38,4,Omkar Tyres
Helios,Watches,Maharashtra,Pune,411057,,Unit No 9 10 10A 11 At Terminal One Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Hinjawadi Pune Maharashtra 411057   Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,9,2,Titan Company Ltd
Vinayak Tyres,Tyres,Maharashtra,Pune,411038,SUNITA PARK,S N 78 Sunita Park Shop No 1 2 Bhusari Colony Paud Road Kothrud Sunita Park  Pune Maharashtra,90040942,Deepak Kushawah,Mobile,89B7416FD88796C4773B70C2CABDBC55637B2A745222CCD90D4F3B1457A9DB42,36,4,Vinayak Tyres
Ashok Tyres,Tyres,Maharashtra,Pune,411014,PUNE,Near Ambedkar Samaj Mandir Khardi Gavthan Haveli Pune  Pune Maharashtra,90049260,Santosh Mahadeo Puri,Mobile,00A5C4E9D0AA66971071353C22A79009002417F3EDFA75CE8C45E2A84F492737,60,6,Ashok Tyres
Shree Gurudatta Electronics,Small Appliances,Maharashtra,Pune,411041,PUNE,Shop No 1Sai Place Shelke Nagar Navle Pul Vasgaon Bk Pune  Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,252,26,Shree Gurudatta Electronics
Just In Time,Watches,Maharashtra,Pune,411019,NEAR RAAGA HOTEL CHINCHWAD STATION PUNE 411019,202 Gawade Estate Old Mumbai Pune Highway Near Raaga Hotel Chinchwad Station Pune 411019  Pune Maharashtra,90042100,Anish Kumar Singh,REMI Model,432A2077E34B8EBAB34E394E8A7D97178C6CB8D880329D740B6378878FB19991,38,4,Just In Time Trading Pvt Ltd
Aadiraaj Sales And Services,Small Appliances,Maharashtra,Pune,411041,Narhe Pune Pune Maharashtra,Sr No 482 Shop No 5 Shinde Residency Manaji Nagar Opp Basundi Snacks Centre And Near Pratik Hostel Narhe Pune Pune Maharashtra  Pune Maharashtra,90041722,Shubham Uttamrao Sunewad,REMI Model,CB387F26632CECE3DC6B9E5F2C2253E57E6E2DABD3333CED6E015894CBEC6C7B,330,33,Aadiraaj Sales And Servicesna
Paras Pro Audio,Small Appliances,Maharashtra,Pune,411002,BUDHWAR PETH,505 B Budhwar Peth Pune Budhwar Peth  Pune Maharashtra,90043198,Salman Shafi Shaikh,Mobile,14285DAF71DEB8B7ACA506CA36C88EEA71125032E959ABE6FD9BC8820B715FC4,76,7,Paras Pro Audio
New Bhagwat Automobiles,Power Backup,Maharashtra,Pune,412219,749 PATAS PUNE SOLAPUR ROAD,749 Patas Pune Solapur Road 749 Patas Pune Solapur Road  Pune Maharashtra,90041413,Vijay Kumar,REMI Model,5D853EA41472C7F7DC15EF1F651E48B7BE4E26E4B0D258F44F56B7811F56FCC7,18,2,New Bhagwat Automobiles
Happy Kids Toys,Others,Maharashtra,Pune,411001,CAMP PUNE,130 MG ROAD NEAR FASHION STREET CAMP PUNE  PUNE MAHARASHTRA,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,19,3,Happy Kids Toys
Gamerz Nation,Others,Maharashtra,Pune,411016,"SenapatiBapatRoad,Chaturshrungi,Pune,MaharashtraPin-411016India","flatno401madhusudhabuilding SenapatiBapatRoad,Chaturshrungi,Pune,MaharashtraPin-411016India  PUNE MAHARASHTRA",90043471,Tejas Anil Kumbhar,REMI Model,A5B1DA4AC5B02BFE8B7B3ECED274BDCFDBE3C34D28E07BE3AE2BFC9C5936B8FE,14,3,Gamerz Nation
Lucky Battery,Power Backup,Maharashtra,Pune,411014,CHANDAN NAGAR,S N 48 Chandan Nagar Kharadi Chandan Nagar  Pune Maharashtra,No Mapping,No Mapping,REMI Model,,12,3,Lucky Battery
Pawar Sewing Machine Co,Sewing Machines,Maharashtra,Pune,411031,SHOP NO 5 SR NO 110 111 BUILDING NO 31 MAHATMA PHULE PETH PUNE 411031,Shop No 5 Sr No 110 111 Building No 31 Mahatma Phule Peth Pune 411031 Shop No 5 Sr No 110 111 Building No 31 Mahatma Phule Peth Pune 411031  Pune Maharashtra,90053317,Sahil Sanjay Tank,Mobile,E45455231503A25D2EAE1F84161E1EB735585A00FD65E593E5095A7BA18C567A,19,3,Pawar Sewing Machine Co
International Tyre,Tyres,Maharashtra,Pune,411042,INCOME TAX OFFICE OPP WEGA CENTRE SWARGATE,Cts No 428 Shop No 1 Ground Floor Shree Balaji Hights Shankar Sheth Road Income Tax Office Income Tax Office Opp Wega Centre Swargate  Pune Maharashtra,90050139,Ramesh Vasantrao Masal,Mobile,5F839A7BE699169F51F0C25FCF2FDD961FDF9DF6CAE576E20BCD01E14A751EC7,37,4,International Tyre
Puma,Footwear,Maharashtra,Pune,411045,,Shop No 14 Ground And First Floor Amar Business Zone S No 87 1A Plot No 1 S No 87 Part Sayakar Chowk Baner Road   Pune Maharashtra,90050324,Bhushan Mahadev Sonagre,REMI Model,4B046609ECA467CBC9C3A2F9CD3E5BBED48846A762869594605FFDB50F89BF34,11,2,Puma Sports India Pvt Ltd
Modern Computer,Others,West Bengal,Pune,700056,Belgharia,45fPrabartakPally Belgharia  KOLKATA WEST BENGAL,90041370,Sumit Thakur,REMI Model,6ABA0792CEF5FE3E76206378A0EFD2434E64022B51FF456F8050E0A72542B793,47,5,Modern Computer
Titan,Watches,Maharashtra,Pune,411028,UPPER GROUND FLOOR SR NO 26 SHOP NO B 02 SAVITRI SHOPING COMPLEX KALE COLONY SASANENAGAR,Upper Ground Floor Sr No 26 Shop No B 02 Savitri Shoping Complex Kale Colony Sasanenagar Upper Ground Floor Sr No 26 Shop No B 02 Savitri Shoping Complex Kale Colony Sasanenagar  Pune Maharashtra,90041413,Vijay Kumar,REMI Model,5D853EA41472C7F7DC15EF1F651E48B7BE4E26E4B0D258F44F56B7811F56FCC7,4,2,Krishna Times
New Music Center,Musical Instruments,Maharashtra,Pune,411011,PUNE,378 New Rasta Peth Near Quarter Gate Pune Pune  Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,19,3,New Music Center
Halge Matching,Sewing Machines,Maharashtra,Pune,410501,ChowkOppDawarkaTower,ShopN03VishalCenterManik ChowkOppDawarkaTower  PUNE MAHARASHTRA,90042100,Anish Kumar Singh,REMI Model,432A2077E34B8EBAB34E394E8A7D97178C6CB8D880329D740B6378878FB19991,6,2,Halge Matching
Ashirwad Wheels And Tyres,Tyres,Maharashtra,Pune,411045,Baner,Ashirwad Wheels And Tyres Baner  Pune Maharashtra,90050947,Krushanaa Vaijinath Tikore,REMI Model,FF41C89DA46ED8115C519740A336462AD1808260413A62D68EAA97EE48F5FA83,14,2,Ashirwad Wheels And Tyres
Platinum Car Decorpune,Car Accessories / Auto Ancillaries,Maharashtra,Pune,411015,Near kesar kingdom society oppt tanu car garage dighi,Quality Plaza Datta Nagar Line No 1 Shop No 5 Dighi Alandi Road Near Kesar Kingdom Society Oppt Tanu Car Garage Dighi  Pune Maharashtra,No Mapping,No Mapping,REMI Model,,7,2,Platinum Car Décor pune
Vijaya Cycle And Motor Co,Cycles,Maharashtra,Pune,411002,BUDHWAR PETH PUNE 411002,594 Opp Lal Mahal Budhwar Peth Pune 411002  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,0,0,Vijaya Cycle And Motor Co 
Bhakti Tyres,Tyres,Maharashtra,Pune,411017,HEDGEWAR ROAD PIMPRI CHINCHWAD PUNE,S No 8221 Vaman Kale Hedgewar Road Pimpri Chinchwad Pune  Pune Maharashtra,90044027,Laxman Maske,Mobile,A27F856A2943AEA4FCA0C06A5A22705CA08A8417375B061314E08586A3087F43,25,3,Bhakti Tyres
Balaji Tyres,Tyres,Maharashtra,Pune,411057,SHOP NO 1 2 SURVEY NO 125 HINJEWADI ROAD PUNE 411057,Shop No 1 2 Survey No 125 Hinjewadi Road Pune 411057 Shop No 1 2 Survey No 125 Hinjewadi Road Pune 411057  Pune Maharashtra,90050245,Mayank Yawar,Mobile,E1C22811F1CB38B109A2E54C72FE0FF670B6CC01A8BB9C967765C86CFA8A05FB,207,19,Balaji Tyres
Tyre Trax,Tyres,Maharashtra,Pune,411014,SHRISHTI CENTRE,Shop No 1 To 4 Wadgaon Sheri Pune Shrishti Centre  Pune Maharashtra,90042080,Amrita Singh,Mobile,A95AF051A3BF98AEB37A1DB6E9920E548482374570F742ECDE4BC78DF278F19D,26,4,Tyre Trax
Mohan Agencies,Small Appliances,Maharashtra,Pune,411011,DARUWALA POOL,1433 Kasba Peth Rcm Gujarathi High School Bldg Daruwala Pool Pune Daruwala Pool  Pune Maharashtra,90043198,Salman Shafi Shaikh,Mobile,14285DAF71DEB8B7ACA506CA36C88EEA71125032E959ABE6FD9BC8820B715FC4,54,6,Mohan Agencies
New Lucky Batery,Power Backup,Maharashtra,Pune,411014,KHARADI,S No 48 Chandan Nagar Kharadi  Pune Maharashtra,90042080,Amrita Singh,Mobile,A95AF051A3BF98AEB37A1DB6E9920E548482374570F742ECDE4BC78DF278F19D,55,6,New Lucky Battery
Crown Tools,Small Appliances,Maharashtra,Pune,411002,NearSantKabirChowk,355Nanapethshopno3 Nearsantkabirchowk  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,39,5,Crown Tools
Metro Tyres,Tyres,Maharashtra,Pune,413102,NEAR HOTEL MIRCHI MASALA,Kalika Mansion Shop No 1 Near Hotel Mirchi Masala Karve Road Kothrud Pune Near Hotel Mirchi Masala  Pune Maharashtra,90040942,Deepak Kushawah,Mobile,89B7416FD88796C4773B70C2CABDBC55637B2A745222CCD90D4F3B1457A9DB42,60,6,Metro Tyres
Rock Hard,Musical Instruments,Maharashtra,Pune,411001,BASEMENT NO 146 CLOVER CENTRE 7 MOLEDENA ROAD PUNE,Basement No 146 Clover Centre 7 Moledena Road Pune Basement No 146 Clover Centre 7 Moledena Road Pune  Pune Maharashtra,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,5,2,Rock Hard
